(training) gnorm,(training) pnorm,epoch,lr,step,train_epoch_loss,train_epoch_r2,train_epoch_time,train_step_loss,val_epoch_loss,val_epoch_r2,val_epoch_time
,,0.0,,16,2500966.0,-2388622.5,0.7784032821655273,,23859.6640625,-25946.9375,0.10525655746459961
,,1.0,,33,2598.449462890625,-2592.05712890625,0.7750370502471924,,3.293469190597534,-2.60332989692688,0.1053919792175293
10.0,218.5676727294922,2,0.0009607999818399549,49,,,,5.870837211608887,,,
,,2.0,,50,94.38775634765625,-91.47183227539062,0.7747094631195068,,1.6778491735458374,-0.8484888076782227,0.10537028312683105
,,3.0,,67,25.661991119384766,-24.14601707458496,0.7763891220092773,,63.9655876159668,-68.4436264038086,0.10514402389526367
,,4.0,,84,340.5308532714844,-355.099365234375,0.7741234302520752,,4.400760173797607,-3.7688872814178467,0.10512351989746094
10.000000953674316,218.5716552734375,5,0.0009208000265061855,99,,,,3.1518454551696777,,,
,,5.0,,101,32.13616180419922,-30.410200119018555,0.7744622230529785,,14.460162162780762,-14.980921745300293,0.1051340103149414
,,6.0,,118,60.42878341674805,-59.10990524291992,0.7742366790771484,,169.1141357421875,-183.06822204589844,0.10500788688659668
,,7.0,,135,71.05764770507812,-72.1904525756836,0.7735872268676758,,37.0296630859375,-39.4103889465332,0.10522937774658203
10.000001907348633,218.5796356201172,8,0.0008808000129647553,149,,,,2.4797630310058594,,,
,,8.0,,152,26.438278198242188,-25.367210388183594,0.7751979827880859,,5.474206924438477,-4.981051445007324,0.10505414009094238
,,9.0,,169,3.896047353744507,-2.8306262493133545,0.7726776599884033,,0.9578955769538879,-0.03861300274729729,0.10554099082946777
,,10.0,,186,4.188099384307861,-3.116001844406128,0.7734377384185791,,5.578053951263428,-5.045811176300049,0.105224609375
10.000000953674316,218.58216857910156,11,0.0008407999994233251,199,,,,2.6118173599243164,,,
,,11.0,,203,17.107894897460938,-16.793611526489258,0.7754182815551758,,13.968972206115723,-14.14660930633545,0.10896873474121094
,,12.0,,220,33.30879211425781,-32.609527587890625,0.7745323181152344,,9.437283515930176,-9.260603904724121,0.10531377792358398
,,13.0,,237,61.67403030395508,-60.04962921142578,0.7747581005096436,,19.88260841369629,-20.94093132019043,0.10581827163696289
9.999999046325684,218.58717346191406,14,0.0008007999858818948,249,,,,17.072795867919922,,,
,,14.0,,254,139.82464599609375,-141.6423797607422,0.7728607654571533,,1.0236905813217163,-0.10866721719503403,0.10598158836364746
,,15.0,,271,62.16862869262695,-64.24333190917969,0.7741868495941162,,1.9868569374084473,-1.198648452758789,0.1054694652557373
,,16.0,,288,2.0809617042541504,-1.0826207399368286,0.7731823921203613,,10.943473815917969,-10.995572090148926,0.10523295402526855
10.000000953674316,218.5885467529297,17,0.0007607999723404646,299,,,,10.814091682434082,,,
,,17.0,,305,4.352148532867432,-3.308603286743164,0.7747306823730469,,11.255724906921387,-11.364581108093262,0.10519623756408691
,,18.0,,322,9.6821870803833,-8.732415199279785,0.773592472076416,,1.5467544794082642,-0.6632941961288452,0.10483741760253906
,,19.0,,339,6.007863521575928,-5.191417694091797,0.7755136489868164,,25.569747924804688,-26.820165634155273,0.10570669174194336
10.000000953674316,218.5887451171875,20,0.0007208000170066953,349,,,,4.2781171798706055,,,
,,20.0,,356,10.9738130569458,-10.477840423583984,0.7756338119506836,,10.81650447845459,-10.84939956665039,0.1056661605834961
,,21.0,,373,2.1282503604888916,-1.0698155164718628,0.7750906944274902,,1.0731562376022339,-0.17294228076934814,0.10522794723510742
,,22.0,,390,2.1561644077301025,-1.133436679840088,0.800391435623169,,0.9860334992408752,-0.06553713232278824,0.11178827285766602
10.0,218.58865356445312,23,0.000680800003465265,399,,,,2.880486488342285,,,
