epoch,train_epoch_loss,train_epoch_r2,val_epoch_loss,val_epoch_r2,train_epoch_time,val_epoch_time,step,(training) pnorm,(training) gnorm,lr,train_step_loss
0.0,8.785381317138672,-7.724102973937988,7.140847682952881,-6.1611151695251465,0.16707086563110352,0.01989889144897461,16,,,,
1.0,2.3021888732910156,-1.2420700788497925,1.000911831855774,-0.0026527445297688246,0.15162134170532227,0.020740032196044922,33,,,,
2,,,,,,,49,1007.59130859375,10.0,0.0009607999818399549,0.413074254989624
2.0,0.8893211483955383,0.11351583898067474,1.481431007385254,-0.4823800325393677,0.15040278434753418,0.019872188568115234,50,,,,
3.0,0.5706459283828735,0.44038063287734985,0.20256765186786652,0.7980668544769287,0.14864587783813477,0.019930362701416016,67,,,,
4.0,0.23488803207874298,0.7661985754966736,0.26286324858665466,0.7365450263023376,0.14941692352294922,0.01979660987854004,84,,,,
5,,,,,,,99,1007.6058959960938,10.0,0.0009208000265061855,0.1855277568101883
5.0,0.15932652354240417,0.8421847224235535,0.2367776781320572,0.7624297142028809,0.14862608909606934,0.019710540771484375,101,,,,
6.0,0.2027723342180252,0.799045205116272,0.11592286080121994,0.8839479088783264,0.14891338348388672,0.019733667373657227,118,,,,
7.0,0.0971732810139656,0.9034239053726196,0.05415335297584534,0.9460782408714294,0.14873957633972168,0.01974320411682129,135,,,,
8,,,,,,,149,1007.6090698242188,9.999999046325684,0.0008808000129647553,0.05929651856422424
8.0,0.08195721358060837,0.9183223843574524,0.0667293444275856,0.9332391619682312,0.14854860305786133,0.01992058753967285,152,,,,
9.0,0.1432192027568817,0.8550311923027039,0.07447177171707153,0.9255960583686829,0.1488018035888672,0.01965785026550293,169,,,,
10.0,0.11267859488725662,0.8883155584335327,0.1347232460975647,0.8649690747261047,0.14882946014404297,0.019740819931030273,186,,,,
11,,,,,,,199,1007.6124877929688,10.0,0.0008407999994233251,0.17075473070144653
11.0,0.15512411296367645,0.8459262847900391,0.07790296524763107,0.9221261143684387,0.14903044700622559,0.019994020462036133,203,,,,
12.0,0.14375236630439758,0.8581798672676086,0.11680853366851807,0.8830717206001282,0.14950799942016602,0.020052433013916016,220,,,,
13.0,0.12656991183757782,0.8758196830749512,0.24522291123867035,0.7541780471801758,0.1487736701965332,0.020080089569091797,237,,,,
14,,,,,,,249,1007.6140747070312,9.918352127075195,0.0008007999858818948,0.15201589465141296
14.0,0.1237715557217598,0.8762127161026001,0.12559710443019867,0.8741571307182312,0.14955663681030273,0.01976466178894043,254,,,,
15.0,0.11480937898159027,0.885063111782074,0.06218999996781349,0.9378522038459778,0.1483621597290039,0.01981496810913086,271,,,,
16.0,0.10191984474658966,0.8979147672653198,0.11490065604448318,0.884850800037384,0.14869952201843262,0.019794225692749023,288,,,,
17,,,,,,,299,1007.6155395507812,10.000000953674316,0.0007607999723404646,0.10096490383148193
17.0,0.10539349913597107,0.895659327507019,0.05914950743317604,0.9408088326454163,0.1486210823059082,0.01970839500427246,305,,,,
18.0,0.10036023706197739,0.9007086753845215,0.09279969334602356,0.9071257710456848,0.15018582344055176,0.01985311508178711,322,,,,
19.0,0.09180227667093277,0.9091047048568726,0.11691692471504211,0.8828281760215759,0.14919710159301758,0.019771337509155273,339,,,,
20,,,,,,,349,1007.6165161132812,10.0,0.0007208000170066953,0.08731552958488464
20.0,0.0975489690899849,0.9026800990104675,0.08538929373025894,0.9146409034729004,0.14960050582885742,0.019835948944091797,356,,,,
21.0,0.13566656410694122,0.8667953610420227,0.12686289846897125,0.8731463551521301,0.14862632751464844,0.019609928131103516,373,,,,
22.0,0.08642221987247467,0.9137011170387268,0.09589742869138718,0.9039449095726013,0.14904260635375977,0.0196988582611084,390,,,,
