(training) gnorm,(training) pnorm,epoch,lr,step,train_step_loss
10.0,112.08474731445312,0,0.0009607999818399549,49,3.107945680618286
10.0,111.97056579589844,0,0.0009208000265061855,99,4.740853309631348
10.0,111.85572814941406,0,0.0008808000129647553,149,3.761093854904175
10.0,111.80579376220703,0,0.0008407999994233251,199,5.596550464630127
10.0,111.75004577636719,0,0.0008007999858818948,249,10.683086395263672
9.999999046325684,111.71377563476562,0,0.0007607999723404646,299,3.556783437728882
10.0,111.69835662841797,0,0.0007208000170066953,349,1.8108575344085693
10.0,111.67567443847656,0,0.000680800003465265,399,1.8084462881088257
10.0,111.66217803955078,0,0.0006407999899238348,449,1.0432870388031006
10.000000953674316,111.64981079101562,0,0.0006007999763824046,499,1.3314533233642578
10.0,111.64525604248047,0,0.0005608000210486352,549,0.6619955897331238
10.0,111.61286163330078,0,0.000520800007507205,599,1.0355581045150757
9.459921836853027,111.59431457519531,0,0.0004807999939657748,649,1.0363547801971436
4.655592441558838,111.54850006103516,0,0.000440800009528175,699,0.642508327960968
10.0,111.531005859375,0,0.00040079999598674476,749,0.9468144178390503
9.999999046325684,111.51509094238281,0,0.000360800011549145,799,0.4825705289840698
6.626194000244141,111.48047637939453,0,0.00032079999800771475,849,0.631684422492981
10.0,111.46212005615234,0,0.00028080001357011497,899,0.4195328652858734
8.054361343383789,111.43833923339844,0,0.00024080000002868474,949,0.9818469285964966
5.403774738311768,111.41559600830078,0,0.00020080000103916973,999,1.3237011432647705
7.566905498504639,111.39979553222656,0,0.00023920000239741057,1049,0.6040369272232056
10.0,111.38465881347656,0,0.0002792000013869256,1099,0.5730673670768738
9.999999046325684,111.3641357421875,0,0.00031919998582452536,1149,0.6053996682167053
9.999999046325684,111.33040618896484,0,0.0003591999993659556,1199,1.136837124824524
9.91826057434082,111.2332763671875,0,0.0003992000129073858,1249,0.40366360545158386
9.999999046325684,111.1563491821289,0,0.0004391999973449856,1299,0.5972846746444702
7.717440605163574,111.07893371582031,0,0.00047920001088641584,1349,1.3266757726669312
9.999999046325684,111.0042724609375,0,0.0005191999953240156,1399,0.4762457609176636
10.0,110.95111083984375,0,0.0005592000088654459,1449,0.9349173903465271
6.263378143310547,110.92691802978516,0,0.0005992000224068761,1499,0.44530829787254333
6.195794582366943,110.86836242675781,0,0.0006391999777406454,1549,0.6575793623924255
4.843271732330322,110.80391693115234,0,0.0006791999912820756,1599,1.276346206665039
1.9568777084350586,110.71115112304688,0,0.0007192000048235059,1649,0.8919788002967834
10.0,110.790283203125,0,0.0007592000183649361,1699,1.4175453186035156
9.999999046325684,110.77175903320312,0,0.0007991999736987054,1749,1.1638469696044922
4.21358585357666,110.71231842041016,0,0.0008391999872401357,1799,1.3844895362854004
