(training) gnorm,(training) pnorm,epoch,lr,step,train_epoch_loss,train_epoch_r2,train_epoch_time,train_step_loss,val_epoch_loss,val_epoch_r2,val_epoch_time
,,0.0,,16,4102.0400390625,-4354.86083984375,2.703385591506958,,38.94206619262695,-41.9511604309082,0.3325212001800537
,,1.0,,33,35.91047668457031,-34.07108688354492,2.260753631591797,,7.820754528045654,-7.472880840301514,0.3323519229888916
10.000000953674316,174.3104705810547,2,0.0009607999818399549,49,,,,7.128480911254883,,,
,,2.0,,50,10.733687400817871,-9.653663635253906,2.260619640350342,,7.478370189666748,-7.1057820320129395,0.3325462341308594
