(training) gnorm,(training) pnorm,epoch,lr,step,train_epoch_loss,train_epoch_r2,train_epoch_time,train_step_loss,val_epoch_loss,val_epoch_r2,val_epoch_time
,,0.0,,16,93215.8359375,-175.6312255859375,0.7740657329559326,,111663.9765625,-221.29457092285156,0.10419321060180664
,,1.0,,33,15881.05859375,-28.32874870300293,0.7696835994720459,,1394.7540283203125,-1.739664077758789,0.10454869270324707
10.000000953674316,218.7666473388672,2,0.0009607999818399549,49,,,,944.100830078125,,,
,,2.0,,50,1393.5826416015625,-1.556013822555542,0.7719094753265381,,1000.6347045898438,-1.0071948766708374,0.1050405502319336
,,3.0,,67,792.8650512695312,-0.4591699540615082,0.7704522609710693,,640.5358276367188,-0.2580312490463257,0.10423827171325684
,,4.0,,84,795.3323364257812,-0.4539485573768616,0.7703723907470703,,3066.026611328125,-5.043648719787598,0.10460138320922852
10.000001907348633,218.7729034423828,5,0.0009208000265061855,99,,,,930.2769775390625,,,
,,5.0,,101,1580.0211181640625,-1.8514057397842407,0.7709348201751709,,703.7487182617188,-0.3678025007247925,0.10428166389465332
