(training) pnorm,(training) gnorm,lr,train_step_loss,epoch,step,train_epoch_loss,train_epoch_r2,val_epoch_loss,val_epoch_r2,train_epoch_time,val_epoch_time
39.90245819091797,7.613755702972412,0.0009607999818399549,1.3462073802947998,0,49,,,,,,
39.91782760620117,9.999999046325684,0.0009208000265061855,1.3659591674804688,0,99,,,,,,
39.93229293823242,8.503993034362793,0.0008808000129647553,1.5065443515777588,0,149,,,,,,
39.945125579833984,9.999998092651367,0.0008407999994233251,0.8709903359413147,0,199,,,,,,
39.953060150146484,8.050017356872559,0.0008007999858818948,1.5689139366149902,0,249,,,,,,
39.959381103515625,8.437591552734375,0.0007607999723404646,1.2786794900894165,0,299,,,,,,
39.963504791259766,5.160739898681641,0.0007208000170066953,0.8918116092681885,0,349,,,,,,
39.96809387207031,5.84489631652832,0.000680800003465265,1.4353537559509277,0,399,,,,,,
39.97098159790039,10.0,0.0006407999899238348,1.0374789237976074,0,449,,,,,,
39.975982666015625,9.999999046325684,0.0006007999763824046,0.7175215482711792,0,499,,,,,,
39.97877883911133,8.831854820251465,0.0005608000210486352,0.8703749179840088,0,549,,,,,,
39.979610443115234,9.999998092651367,0.000520800007507205,1.0725576877593994,0,599,,,,,,
39.982479095458984,10.000000953674316,0.0004807999939657748,0.900475263595581,0,649,,,,,,
39.98561096191406,6.9922332763671875,0.000440800009528175,0.9534561634063721,0,699,,,,,,
39.9857177734375,9.999998092651367,0.00040079999598674476,0.817844033241272,0,749,,,,,,
39.9889030456543,7.716849327087402,0.000360800011549145,1.0105574131011963,0,799,,,,,,
,,,,0.0,821,1.0823715925216675,-0.37120872735977173,0.8682703375816345,-0.09469418972730637,17.18414878845215,3.752593755722046
39.99028396606445,8.20934772491455,0.00032079999800771475,0.7826967239379883,1,849,,,,,,
39.99207305908203,8.17330551147461,0.00028080001357011497,0.6098679900169373,1,899,,,,,,
39.993106842041016,9.42965316772461,0.00024080000002868474,1.0966179370880127,1,949,,,,,,
39.993473052978516,9.829030990600586,0.00020080000103916973,0.9422376155853271,1,999,,,,,,
39.99493408203125,6.9081220626831055,0.00023920000239741057,1.1414835453033447,1,1049,,,,,,
39.995548248291016,5.560176849365234,0.0002792000013869256,1.239368200302124,1,1099,,,,,,
39.99855041503906,4.731812000274658,0.00031919998582452536,1.069044828414917,1,1149,,,,,,
40.00070571899414,5.175308704376221,0.0003591999993659556,0.7614647746086121,1,1199,,,,,,
